name,age,province,cie,money
Annalisa Agnesi,76,MB,RZ61959PS,767.23
Annalisa Agnesi,76,MB,RZ61959PS,767.23
Goffredo Gonzaga,49,BS,GD36249DQ,1189.09
Sig. Fulvio Casagrande,29,FR,FG05920KR,1380.87
Loredana Bombieri,99,TA,TN37800GG,1981.49
Bettina Morucci-Barberini,69,CN,OI40595XF,601.13
,60,SV,DW91498MY,2084.91
Mario Dallara,31,NO,FE90118NQ,1168.08
Maurizio Pirelli,73,OT,WG99158VL,2017.28
,60,SV,DW91498MY,2084.91
Nadia Musatti,59,MN,KF09979NV,775.06
Liana Bignami,8,PA,BN86672BP,2010.52
Tonino Platini,25,VE,OQ13798YU,1874.80
Gelsomina Trevisani,96,TO,MN43718YK,2303.59
Amico Antonello,44,PE,GU44338UV,
Rosalia Buonauro,85,BR,ND49844RM,1424.94
Sig.ra Elena Sauli,58,TE,EP23078UP,1668.30
Dott. Amalia Trevisani,39,PA,JA48110BD,2054.62
Sig.ra Elena Sauli,58,TE,EP23078UP,1668.30
Ciro Smirnoff,42,,JR96714YP,2053.75
Cirillo Greggio,41,,RU90046ZU,1460.44
Virgilio Prati,57,PN,UL06516DX,2109.25
Severino Giacometti-Trentin,8,PD,JB84445ZN,
Luchino Venturi,41,FM,VM11277QS,
Liana Bignami,8,PA,BN86672BP,2010.52
Matilda Dandolo-Sauli,42,VA,LR68002DL,1785.78
Angelina Spanevello,43,MS,CB09594EQ,421.54
Coluccio Cherubini,68,FC,QM07898UR,664.89
Guido Argan,52,FG,LW42319PH,1784.97
Sig. Raffaellino Farina,30,CH,LV10748FJ,1258.85
Lucia Gentilini,2,TN,LO78101DV,
Agnolo Gritti-Disdero,2,VI,EW69978WY,1215.41
Anita Fabbri-Sbarbaro,73,TN,IF05052HK,1662.42
Melina Querini,2,SA,AM11565OP,1424.62
Raffaello Deledda,41,VE,WO49787HZ,1026.10
Dott. Arnaldo Dalla,50,TP,LX33071VA,1253.04
Lilla Donarelli,73,PT,VW45198HL,2025.88
Gelsomina Armani,42,BT,QT61606WZ,1715.48
Isa Offredi,68,MI,JQ69999VB,2112.36
Loretta Trillini-Iacobucci,-94,TO,DI15711DD,
Arnaldo Manacorda,4,CI,FE17199JB,2849.78
Dott. Sandra Pagliaro,54,AG,CB88020OW,679.00
Tonia Fantoni-Tognazzi,33,EN,US03572FI,1692.62
Filippa Passalacqua,34,AP,IA11764AG,2505.22
Biagio Cammarata,-8,RO,LH83199SO,2085.01
Graziella Golino,98,MT,XK76873LA,1845.84
Sig. Eraldo Cagnotto,43,FC,KA44547GY,520.40
Gino Mattarella,5,MN,QX86395EG,1220.24
Luchino Venturi,41,FM,VM11277QS,
Costantino Casadei,21,PC,ZH15124SW,1940.12
Renata Folliero,67,RG,YR32851AW,2593.77
Lorenzo Majorana,78,NU,QQ34803IN,1821.98
Manuel Curci,,VC,KL71769OD,1615.89
Antonina Lucarelli,70,MC,IC49709BG,2503.87
Concetta Cusano,53,VC,MF20939MD,2295.89
Galasso Granatelli,43,CT,TS51975HV,820.34
Flavio Rienzo,31,,JB39560WI,1050.75
Bettina Morucci-Barberini,69,CN,OI40595XF,601.13
Sig.ra Giuliana Goldstein,16,BI,Bw27208wb,1246.79
Graziella Soderini,78,CA,LO66050IC,1329.17
Dott. Arturo Bompiani,99,IS,GH76567DD,2990.48
Dott. Sandro Beccaria,1,RC,OP15387MP,3179.77
Sig.ra Rosalia Jilani,15,FR,PN90118IT,1943.52
Raffaello Deledda,41,VE,WO49787HZ,1026.10
,40,,FU39414YY,865.39
Sig. Raffaellino Farina,30,CH,LV10748FJ,1258.85
Lara Battaglia,62,AG,CW55265QW,1565.02
Letizia Zampa,41,,PY80875ZT,1590.12
Gelsomina Trevisani,96,TO,MN43718YK,2303.59
Sig.ra Licia Zanazzo,90,BN,VV62383GU,1438.36
Roman Jilani,39,VC,BC88902VT,1840.50
Francesco Corbo,90,NO,BC53618DR,1526.25
Sig.ra Elena Sauli,58,TE,EP23078UP,1668.30
Gioffre Bonaventura,50,PT,XJ26628UF,1588.84
Adriana Morellato,57,LE,,1751.51
Giampiero Belletini-Jacuzzi,12,AN,KN12890OA,1792.08
Luchino Venturi,41,FM,VM11277QS,
Massimo Brambilla,9,VR,XZ04187TV,1038.79
Sig. Benito Impastato,73,VR,ct67289FI,-320.98
Salvatore Gianinazzi,98,CT,FH92824CK,1181.18
Gianna Doria,3,SR,HS23005NX,2037.07
Dott. Daniele Vendetti,17,CL,,1459.32
Ramona Bembo,59,TS,JG42710UY,
Panfilo Mondadori,95,SR,TV54794WF,1759.90
Gianluca Binaghi,98,PU,ZC47692DO,1706.27
Dott. Sole Branciforte,44,NA,YN59381EN,2893.73
Nico Canetta,23,FM,LO69281VD,1070.33
Milena Seddio-Goldstein,36,TO,VU86085DA,1098.09
Fortunata Battisti,4,PA,EP23835LY,
Liberto Poerio-Doglioni,75,CH,UL98826PJ,1802.83
Zaira Lombardo,85,LE,RS80015LL,1926.78
Virginia Bruno,69,LE,ZV98155CC,1707.22
Fortunata Battisti,4,PA,EP23835LY,
Alina Disdero,2,FM,AZ64773XG,2180.65
Monica Iadanza,93,PR,VG34301TV,-835.76
Mattia Agostinelli,93,PU,CU19939BV,1001.94
Donatella Brancaccio,18,TA,JH64324HP,1221.79
Fabio Leonardi,67,GE,UC36138WQ,1144.73
Bianca Marrone-Faugno,99,BT,IE05002JS,1059.63
Dott. Torquato Silvestri,52,AG,,1329.62
Francesco Corbo,90,NO,BC53618DR,1526.25
Zaira Binaghi,20,FG,XC56524YC,1023.26
Dott. Simone Serraglio,52,PG,KZ82474WQ,2121.00
Martino Broggini,59,PT,AR17035BZ,1205.70
Lara Scarponi,17,NA,CB83600ML,624.29
Ivan Botta,56,,OZ47366EE,820.05
Vincenzo Prada,15,SO,LJ53044NJ,591.83
Dante Omma,81,EN,VP75395LS,426.93
Sig.ra Eliana Bassi,19,FR,DY15550ZE,708.50
Marco Malpighi,56,BO,LV73968AE,2291.83
Antonella Brunello,74,RC,ZM50529ML,1676.83
Dott. Simone Odescalchi,78,Sr,LY44646XB,745.90
Livio Tamburello-Boito,91,MS,FI57112RX,1371.34
Sig. Sergius Valguarnera,38,TV,NB65237JS,1005.39
Sig. Luchino Dibiasi,30,FE,WR79689JX,1318.44
Sig.ra Caterina Infantino,83,RC,WY84642OM,837.90
Toni Balla,17,IM,YN57942TS,1648.33
Dott. Antonella Boito,57,SR,FE21319EI,2556.60
Ilaria Malacarne,12,PN,FK02986DM,$1234.03
Nicolò Grifeo,64,BR,UM52039UN,2220.80
Stefani Pigafetta,40,RM,TX10376VW,843.33
Alina Ammaniti,88,FG,UX78221UN,1363.28
Zaira Binaghi,20,FG,XC56524YC,1023.26
Goffredo Ajello-Dellucci,26,BI,NO88799DC,2546.72
Toni Bettoni-Scalera,,PD,KA08976FJ,2108.80
Irma Foconi,91,VA,TQ57255MI,2201.97
