name,age,province,cie,money
Gabriele Rossini,,PD,UM28183EF,2903.21
forTuNaTA NOsigLia,4,AL,UH80805IB,2106.74
Vito Ginese,56,BN,AZ83841BY,1067.48
Gabriele Rossini,,PD,UM28183EF,2903.21
Sig. Sebastiano Nicolucci,16,FI,LB10514FD,1844.36
Bettina Bernardini,35,PR,NA37034DH,760.17
Adriana Milanesi,,VB,YD42437SG,1846.96
Lamberto Staglieno,82,CH,IJ85540GL,1921.14
Teresa Goldoni-Balbo,3,AQ,WZ94984SK,1514.68
Temistocle Guicciardini-Morellato,99,RG,DD37731HJ,1041.71
Antonia Trupiano,17,CI,AV92691YI,2526.98
Sig. Sebastiano Nicolucci,16,FI,LB10514FD,1844.36
Santino Moschino,69,OT,IC05315XN,1318.46
Sig. Gioachino Maderno,37,VI,CF18067ZO,1171.13
Maria Sobrero,67,VB,QR13388NF,-108.45
Ferdinando Pergolesi,27,VE,YO16413OB,389.66
Vito Ginese,56,BN,AZ83841BY,1067.48
Adamo Notarbartolo,84,LO,TV14548ZE,1287.24
Caterina Gasperi,49,Go,NC62232YO,761.18
Enzio Marino,50,FC,BK76925PC,2418.93
Gemma Fittipaldi-Polani,25,GE,XY28761UX,
Ignazio Nibali-Stucchi,21,AO,UN99367CX,1535.53
Daniele Raurica,81,AT,NP41502GS,1362.47
Donato Jovinelli,-30,CH,KN36393VJ,1785.30
Matilda Iannotti,2,NU,CY46000HA,895.68
Luisa Iannuzzi,89,AG,OD61064GJ,1631.00
Lidia Caracciolo-Andreotti,3,BG,KL10059RU,2136.45
Luisa Iannuzzi,89,AG,OD61064GJ,1631.00
Loretta Bartoli,90,RO,FB37440BC,1706.89
Sophia Deledda,73,VR,DM91192KV,645.06
Paloma Curci,26,CL,LV03876CB,1722.14
caLOgero nIcolucCI,10,RN,ZE37221OS,1620.39
Sig. Sebastiano Nicolucci,16,FI,LB10514FD,1844.36
Imelda Salvini,52,BA,MR12762FP,1380.22
Temistocle Guicciardini-Morellato,99,RG,DD37731HJ,1041.71
Biagio Armellini,41,VC,LM09318CY,
Sig.ra Valentina Tasca,30,EN,XU41161KS,1754.26
Donatella Boccioni,77,AT,CW97341PF,788.65
Dott. Gianna Guarato,86,PR,FB28983ID,1917.28
Dott. Gianna Dalla,62,FE,BT99987RJ,618.12
Saverio Schiavo,95,PO,YK93860UO,748.98
Patrizia Sgalambro,40,OT,OG13034DT,1285.77
Gelsomina Tognazzi,32,RO,EC43373ZL,1939.74
Gelsomina Tognazzi,32,RO,EC43373ZL,1939.74
Adamo Notarbartolo,84,LO,TV14548ZE,1287.24
Cassandra Boiardo-Mazzacurati,54,FC,WS98094ZG,1858.44
Antonia Ossani,91,CI,WO93695ZE,1763.52
Adriana Cremonesi-Giorgetti,19,CZ,PZ92853SD,1202.84
Dott. Caterina Baracca,21,TO,IK47801AH,
Luciana Gremese,6,,MN62040YX,2141.69
Elisa Scamarcio,5,AT,EK97901UQ,1880.96
Sig. Sebastiano Nicolucci,16,FI,LB10514FD,1844.36
Dott. Berenice Pavanello,88,AN,KW79360UA,
Guglielmo Cibin,68,LU,KY24145CL,1523.37
Angelo Lanfranchi,99,PI,HG88448QT,2125.00
,97,VC,DL42242PA,1083.84
Allegra Berengario-Caetani,70,RO,se53224rf,1112.60
Gioele Favata,43,TR,PD56436ZC,2299.51
Piersanti Filzi,48,BS,HZ13116RS,2538.48
Nadia Buscetta,45,,GD46290DH,2644.88
Lilla Cabrini,55,CN,XO24197NO,2506.89
Dott. Nico Piccio,88,OT,TA47485QB,1091.69
Nina Tasca-Bignami,7,PU,GF85132OB,1691.69
Bruno Cherubini,39,CE,QD43415UZ,2410.58
Arnaldo Cassarà-Longhena,7,GR,PG47678WC,908.87
Gaetano Bragadin,44,OT,BF58378ET,1792.44
Fortunata Detti,74,CH,PM71768VZ,754.86
Rosalia Travaglia,17,CL,NS12197PD,355.24
Dott. Nicola Romagnoli,94,FG,ZY31614MW,
Bruno Cherubini,39,CE,QD43415UZ,2410.58
Achille Pucci,50,ME,MV69486OC,2688.46
Lauretta Calgari,2,BI,LO70695NW,889.07
,38,,PU11582OZ,938.32
Romina Esposito,79,,AN05284AP,1649.88
Aurora Maderna,82,VT,BR88360XA,1335.72
Paoletta Gozzano,26,CR,FZ58055WS,2999.57
Dott. Alfredo Sordi,38,AN,NN28095AO,1220.71
Romeo Vento,63,TE,WF22018BG,1096.89
Sig.ra Monica Pigafetta,15,CN,HS36977AT,1356.39
Eliana Venturi,99,IS,IN48288QW,1592.79
Graziella Casini,73,PO,SE48334JC,761.10
Sig.ra Gabriella Lamborghini,54,IS,LJ53575BD,2168.55
T. Strangio ,89,BR,MS43742RX,$1877.91
Gaetano Bragadin,44,OT,BF58378ET,1792.44
Serena Aporti,1,,XN04527KJ,1857.57
Ciro Gibilisco,56,BZ,QF08310FD,722.76
Dott. Marina Gaito,51,SO,LI53850VG,2526.59
Teresa Goldoni-Balbo,3,AQ,WZ94984SK,1514.68
Monica Barracco,26,CS,CO66937FE,1493.94
Sig.ra Flora Salgari,-51,CZ,AA86279QX,907.60
